text,level,flag,sub
空白のカード,0,1,0
命のカード,0,1,0
スペルのカード,0,1,0
欠けた命のカード,0,1,0
欠けたスペルのカード,0,1,0
勝手に天下の回り物,0,1,0
鈴瑚印の団子,0,1,0
不死鳥の尾,0,1,0
陰陽玉,0,1,0
陰陽玉（針）,0,1,0
ミニ八卦炉,0,1,0
ミニ八卦炉（ミサイル）,1000,1,0
メイドナイフ,1000,1,0
メイドナイフ（跳弾）,1000,1,0
無事かえるお守り,0,1,0
蛇の抜け殻入りお守り,1000,1,0
半霊の半分,1000,1,0
上海人形,0,1,0
アイスフェアリー,1000,1,0
背中の扉,0,1,0
鬱陶しいＵＦＯ,0,1,0
太古の勾玉,0,1,0
守銭奴の教訓,0,1,0
神山への供物,0,1,0
死穢回避の薬,3,1,0
幸運うさぎの足,3,1,0
弱肉強食の理,0,1,0
法力経典,3,1,0
小石ころ帽子,3,1,0
はじける赤蛙,3,1,0
疾風の下駄,3,1,0
偶像防衛隊,3,1,0
かぐや姫の隠し箱,3,1,0
頼りになる弟子狸,0,1,0
弾幕の亡霊,3,1,0
鬼傑組長の脅嚇,0,1,0
地獄の沙汰も金次第,0,1,0
肉体強化地蔵,0,1,0
転ばぬ先のスペル,3,1,0
商売上手な招き猫,5,1,0
山童的買い物術,5,1,0
ドラゴンキセル,5,1,0
暴食のムカデ,5,1,0
画面の境界,3,1,0
打ち出の小槌,3,1,0
忍耐の要石,3,1,0
狂気の月,3,1,0
やんごとなき威光,3,1,0
ヴァンパイアファング,1000,1,0
地底の太陽,3,1,0
アイテムの季節,3,1,0
重低音バスドラム,3,1,0
サイコキネシス,3,1,0
霊力の標本瓶,5,1,0
大天狗の麦飯,5,1,0
空色の勾玉,3,1,0
子供に人気アリスの上海人形,25,1,0
大天狗のお気に入りの典,18,1,0
面白いメイドさん,14,1,0
鬼傑組長背中強打（無事死亡）,34,1,0
半人の半分,6,1,0
メリーとうきうきカフェテリア,28,1,0
ナインテンナイン,8,1,0
おきなとフランのたのしい食事（メインはラム肉）,30,1,0
けーきのやちさきアイドル化,20,1,0
アルコール強要さき組長,18,1,0
やきいものおいしい季節,16,1,0
えーりんの神経手術,16,1,0
もこたんいんしたお,17,1,0
メルカリに空白のカード売る小鈴,25,1,0
カゴメカゴメ,8,1,0
ラルバのさなぎ,11,1,0
神子のとじこへの隠し事,20,1,0
なんとこいフラの先にさとフラ,25,1,0
カードの売人,6,1,0
ルーミアなのかー,4,1,0
いい天気,6,1,0
人肉ステーキ,8,1,0
ムラサのアンカー,5,1,0
月光,6,1,0
幸運と不運,15,1,0
天狗のカメラ,6,1,0
偶像のメンテナンス,13,1,0
テキーラの空き瓶,10,1,0
売り子不足,10,1,0
グルメセンサー,9,1,0
ララバイ,5,1,0
こころのお面,13,1,0
蛇神かなこ,11,1,0
風神さなえ,13,1,0
メランコリー,9,1,0
ちやり強い無理,12,1,0
鬼傑組長フェラのちアナル地獄,50,1,0
